date,interest_rate,m4_moneySupply,net_lending_privateSector,net_lending_publicSector,bond_issuance,bond_repayment,change_in_reserves
01/02/2017,,,431590,646714,,,
01/03/2017,,,420058,650434,56941,178747,47516
01/04/2017,,2313614,424086,650793,,,
01/05/2017,,,425124,654456,,,
01/06/2017,,,420054,643502,54998,88213,24923
01/07/2017,,2355565,420321,679171,,,
01/08/2017,,,424851,682373,,,
01/09/2017,,,399063,668887,51586,98077,1336
01/10/2017,,2355063,408236,674514,,,
01/11/2017,,,413377,665800,,,
02/11/2017,0.5,,,,,,
01/12/2017,,,392897,666148,53676,-3186,20153
01/01/2018,,2358891,423546,659176,,,
01/02/2018,,,425112,664139,,,
01/03/2018,,,403159,664056,48004,31612,15802
01/04/2018,,2374782,409943,633242,,,
01/05/2018,,,435798,646716,,,
01/06/2018,,,413409,641065,32923,30359,11683
01/07/2018,,2383020,408352,632783,,,
01/08/2018,,,419235,635970,,,
02/08/2018,0.75,,,,,,
01/09/2018,,,410656,620441,37464,55329,-222
01/10/2018,,2410983,409487,616232,,,
01/11/2018,,,435810,612836,,,
01/12/2018,,,426034,612932,44428,44201,-2967
01/01/2019,,2416798,425016,621699,,,
01/02/2019,,,387519,620281,,,
01/03/2019,,,382601,619791,36263,60091,-10733
01/04/2019,,2430892,392950,618964,,,
01/05/2019,,,404974,628633,,,
01/06/2019,,,402120,629988,31214,44821,14692
01/07/2019,,2475069,411973,636229,,,
01/08/2019,,,422221,654363,,,
01/09/2019,,,413484,654206,28036,30105,-18515
01/10/2019,,2501868,391068,659261,,,
01/11/2019,,,400703,652742,,,
01/12/2019,,,385135,633132,38318,32969,7606
01/01/2020,,2617520,400358,656793,,,
01/02/2020,,,419013,656652,,,
01/03/2020,,,467442,673408,23742,38047,-9781
11/03/2020,0.25,,,,,,
19/03/2020,0.1,,,,,,
01/04/2020,,2752659,445819,762388,,,
01/05/2020,,,458230,834198,,,
01/06/2020,,,448702,862793,24970,16711,211521
01/07/2020,,2782782,436097,891937,,,
01/08/2020,,,436499,888899,,,
01/09/2020,,,455328,902182,24101,26935,45233
01/10/2020,,2811455,434150,910654,,,
01/11/2020,,,443305,921865,,,
01/12/2020,,,437366,934172,23295,38856,44026
01/01/2021,,2872732,429636,922275,,,
01/02/2021,,,435720,900300,,,
01/03/2021,,,432357,915431,26254,25199,29059
01/04/2021,,2916713,426495,937523,,,
01/05/2021,,,424032,957802,,,
01/06/2021,,,417360,960297,21378,21992,29498
01/07/2021,,2950237,422894,993209,,,
01/08/2021,,,442321,997561,,,
01/09/2021,,,471252,961565,14012,27368,25274
01/10/2021,,2988840,471801,994901,,,
01/11/2021,,,475378,1037813,,,
01/12/2021,,,461781,1015102,27926,23048,116817
16/12/2021,0.25,,,,,,
01/01/2022,,3028166,468976,986493,,,
01/02/2022,,,479860,974024,,,
03/02/2022,0.5,,,,,,
01/03/2022,,,468337,925937,12322,30282,-18341
17/03/2022,0.75,,,,,,
01/04/2022,,3035598,481616,907017,,,
01/05/2022,,,472158,884534,,,
05/05/2022,1,,,,,,
01/06/2022,,,505164,865206,18865,22015,-499
16/06/2022,1.25,,,,,,
01/07/2022,,3112830,481616,881166,,,
01/08/2022,,,511965,822553,,,
04/08/2022,1.75,,,,,,
01/09/2022,,,551506,751345,12665,21146,-8406
